08868: Fangst, etter år, landingskommune, fangstart og statistikkvariabel;;;;
;;;;
år;landingskommune;fangstart;Mengde (tonn);Verdi (1 000 kr)
2000;0226 Sørum (-2019);Andre skaldyr og blautdyr;0;0
2000;0226 Sørum (-2019);Annan fisk, uspesifisert;0;0
2000;0227 Fet (-2019);Fisk i alt;0;0
2000;0227 Fet (-2019);Pelagisk fisk;0;0
2000;0227 Fet (-2019);Torsk og torskeartar;0;0
2000;0227 Fet (-2019);Flatfisk og botnfisk;0;0
2000;0227 Fet (-2019);Djupvassfisk;0;0
2000;0227 Fet (-2019);Andre skaldyr og blautdyr;0;0
2000;0227 Fet (-2019);Annan fisk, uspesifisert;0;0
2000;0228 Rælingen (1929-2019);Fisk i alt;0;0
2000;0228 Rælingen (1929-2019);Pelagisk fisk;0;0
2000;0228 Rælingen (1929-2019);Torsk og torskeartar;0;0
2000;0228 Rælingen (1929-2019);Flatfisk og botnfisk;0;0
2000;0228 Rælingen (1929-2019);Djupvassfisk;0;0
2000;0228 Rælingen (1929-2019);Andre skaldyr og blautdyr;0;0
2000;0228 Rælingen (1929-2019);Annan fisk, uspesifisert;0;0
2000;0229 Enebakk (-2019);Fisk i alt;0;0
2000;0229 Enebakk (-2019);Pelagisk fisk;0;0
2000;0229 Enebakk (-2019);Torsk og torskeartar;0;0
2000;0229 Enebakk (-2019);Flatfisk og botnfisk;0;0
2000;0229 Enebakk (-2019);Djupvassfisk;0;0
2000;0229 Enebakk (-2019);Andre skaldyr og blautdyr;0;0
2000;0229 Enebakk (-2019);Annan fisk, uspesifisert;0;0
2000;0230 Lørenskog (1908-2019);Fisk i alt;0;0
2000;0230 Lørenskog (1908-2019);Pelagisk fisk;0;0
2000;0230 Lørenskog (1908-2019);Torsk og torskeartar;0;0
2000;0230 Lørenskog (1908-2019);Flatfisk og botnfisk;0;0
2000;0230 Lørenskog (1908-2019);Djupvassfisk;0;0
2000;0230 Lørenskog (1908-2019);Andre skaldyr og blautdyr;0;0
2000;0230 Lørenskog (1908-2019);Annan fisk, uspesifisert;0;0
2000;0231 Skedsmo (-2019);Fisk i alt;0;0
2000;0231 Skedsmo (-2019);Pelagisk fisk;0;0
2000;0231 Skedsmo (-2019);Torsk og torskeartar;0;0
2000;0231 Skedsmo (-2019);Flatfisk og botnfisk;0;0
2000;0231 Skedsmo (-2019);Djupvassfisk;0;0
2000;0231 Skedsmo (-2019);Andre skaldyr og blautdyr;0;0
2000;0231 Skedsmo (-2019);Annan fisk, uspesifisert;0;0
2000;0233 Nittedal (-2019);Fisk i alt;0;0
2000;0233 Nittedal (-2019);Pelagisk fisk;0;0
2000;0233 Nittedal (-2019);Torsk og torskeartar;0;0
2000;0233 Nittedal (-2019);Flatfisk og botnfisk;0;0
2000;0233 Nittedal (-2019);Djupvassfisk;0;0
2000;0233 Nittedal (-2019);Andre skaldyr og blautdyr;0;0
2000;0233 Nittedal (-2019);Annan fisk, uspesifisert;0;0
2000;0234 Gjerdrum (-2019);Fisk i alt;0;0
2000;0234 Gjerdrum (-2019);Pelagisk fisk;0;0
2000;0234 Gjerdrum (-2019);Torsk og torskeartar;0;0
2000;0234 Gjerdrum (-2019);Flatfisk og botnfisk;0;0
2000;0234 Gjerdrum (-2019);Djupvassfisk;0;0
2000;0234 Gjerdrum (-2019);Andre skaldyr og blautdyr;0;0
2000;0234 Gjerdrum (-2019);Annan fisk, uspesifisert;0;0
2000;0235 Ullensaker (-2019);Fisk i alt;0;0
2000;0235 Ullensaker (-2019);Pelagisk fisk;0;0
2000;0235 Ullensaker (-2019);Torsk og torskeartar;0;0
2000;0235 Ullensaker (-2019);Flatfisk og botnfisk;0;0
2000;0235 Ullensaker (-2019);Djupvassfisk;0;0
2000;0235 Ullensaker (-2019);Andre skaldyr og blautdyr;0;0
2000;0235 Ullensaker (-2019);Annan fisk, uspesifisert;0;0
2000;0236 Nes (Akershus) (-2019);Fisk i alt;0;0
2000;0236 Nes (Akershus) (-2019);Pelagisk fisk;0;0
2000;0236 Nes (Akershus) (-2019);Torsk og torskeartar;0;0
2000;0236 Nes (Akershus) (-2019);Flatfisk og botnfisk;0;0
2000;0236 Nes (Akershus) (-2019);Djupvassfisk;0;0
2000;0236 Nes (Akershus) (-2019);Andre skaldyr og blautdyr;0;0
2000;0236 Nes (Akershus) (-2019);Annan fisk, uspesifisert;0;0
2000;0237 Eidsvoll (-2019);Fisk i alt;0;0
2000;0237 Eidsvoll (-2019);Pelagisk fisk;0;0
2000;0237 Eidsvoll (-2019);Torsk og torskeartar;0;0
2000;0237 Eidsvoll (-2019);Flatfisk og botnfisk;0;0
2000;0237 Eidsvoll (-2019);Djupvassfisk;0;0
